Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10
Psoriasis,da khô,nứt nẻ da,ngứa,đau khớp,da đỏ,vảy da,vết sưng da,mẩn đỏ,mệt mỏi,tăng mảng vảy
Lo âu,đau ngực,hồi hộp,rối loạn tiêu hóa,đau đầu,lo lắng thái quá,cảm giác bất an,khó ngủ,,,
Cường giáp,khó chịu với nóng,sụt cân,run tay,mệt mỏi,đổ mồ hôi nhiều,khó ngủ,,,,
Bệnh phổi tắc nghẽn mãn tính (COPD),ho kéo dài,mệt mỏi,khò khè,tiếng thở có âm thanh,thở nhanh,ho có đờm,đau ngực,khó thở,khó thở khi gắng sức,sút cân
Rối loạn hoảng sợ,khó thở,buồn nôn,đau ngực,run rẩy,cảm giác choáng váng,đột ngột cảm giác sợ hãi,rối loạn nhịp tim,mồ hôi vã ra,,
Rối loạn lưỡng cực,trầm cảm,suy nghĩ nhanh,cảm giác cực kỳ vui vẻ,thay đổi đột ngột tâm trạng,vấn đề với hành vi,khó khăn trong kiểm soát cảm xúc,mất ngủ,,,
Thiếu máu,thở nhanh,nhức đầu,đau cơ,đau ngực,mệt mỏi,lạnh tay chân,,,,
Thoát vị,cảm giác căng tức,sưng vùng bụng,đau khi ho hoặc căng thẳng,đau vùng bụng,khó thở,cảm giác nặng nề,,,,
Chán ăn,mất cảm giác thèm ăn,mất tự tin,cảm giác no ngay cả khi không ăn,khó ngủ,giảm cân nhanh,suy nhược cơ thể,mệt mỏi,buồn nôn,chóng mặt,
Ung thư cổ tử cung,tiểu đau,đau lưng,tiêu chảy,tiết dịch âm đạo bất thường,đau khi quan hệ,mệt mỏi,sưng chân,đau vùng chậu,giảm cân,
Xơ cứng bì,vết thương chậm lành,khó thở,cảm giác nóng da,đau cơ,da căng và dày,mệt mỏi,,,,
Bệnh thận mãn tính,sưng chân,huyết áp cao,mệt mỏi,nôn,tiểu không bình thường,da khô hoặc ngứa,khó thở,chuột rút cơ,buồn nôn,chán ăn
Thủy đậu,đau cơ,rùng mình,đau đầu,phát ban ngứa,nốt phỏng,mệt mỏi,vảy,chán ăn,,
Schizophrenia,khó tập trung,cảm giác lạc lõng,thất vọng,ảo giác,lú lẫn,hoang tưởng,,,,
Ung thư tuyến tiền liệt,sút cân nhanh,đau vùng lưng dưới,"đi tiểu thường xuyên, đặc biệt vào ban đêm",rối loạn cương dương,đau vùng xương chậu,buồn nôn,tiểu khó,mệt mỏi,máu trong nước tiểu,
Psoriasis,mẩn đỏ,mệt mỏi,vảy da,da đỏ,nứt nẻ da,đau khớp,da khô,,,
Tiêu chảy,mất nước,nôn mửa,đau khi đi tiêu,đau bụng,khó chịu ở bụng,mệt mỏi,sốt,,,
Xơ vữa động mạch,vấn đề về thị lực,mệt mỏi,khó đi lại,cảm giác ngứa,tê,mờ mắt,rối loạn trí nhớ,chóng mặt,yếu cơ,
Tăng huyết áp,mơ hồ,đau đầu,chảy máu cam,vấn đề về thị lực,khó thở,chóng mặt,mệt mỏi,nhịp tim không đều,,
Mumps,nuốt đau,đau đầu,chán ăn,đau họng,sốt,đau nhức,,,,
Thiếu máu hồng cầu hình liềm,sút cân,mệt mỏi,đau xương khớp,đau bụng,khó thở,da nhợt nhạt,chóng mặt,đau ngực,buồn nôn,
U ác tính,ho kéo dài,khó nuốt,mệt mỏi,thay đổi màu sắc của da hoặc nốt mụn,khó thở,sốt,đau ngực,khối u,đau,
Chán ăn,cảm giác tội lỗi khi ăn,buồn nôn,chóng mặt,cảm giác no ngay cả khi không ăn,mất tự tin,suy nhược cơ thể,khó ngủ,,,
Herpes,phát ban,đau khi tiểu,đau cơ,mệt mỏi,vết loét trên cơ thể,sốt,vùng da đau nhức,đau đầu,,
Trào ngược dạ dày thực quản,đầy hơi,đau họng,khó nuốt,ho khan,khó thở,,,,,
Hội chứng ruột kích thích (IBS),chán ăn,sưng bụng,đau bụng,táo bón,mệt mỏi,đau khi đi tiêu,khó tiêu,,,
Động kinh,chuột rút cơ,mất ý thức,cắn lưỡi,co giật,mất trí nhớ tạm thời,,,,,
Ung thư bàng quang,khó tiểu,mệt mỏi,tiểu ra máu,buồn nôn,đau khi tiểu,đau xương chậu,tiểu không hết,,,
Viêm ruột thừa,mệt mỏi,khó tiêu,đau khi ho hoặc di chuyển,buồn nôn,nôn mửa,cảm giác no bụng,đau vùng bụng dưới bên phải,sốt,,
Đột quỵ,khó nuốt,đau đầu dữ dội,khó nhìn,mất phối hợp,tê bì đột ngột,yếu một bên cơ thể,chóng mặt,khó đi lại,mơ hồ,
Bệnh Lyme,cứng cổ,tê tay chân,đau cơ,phát ban hình mắt bò,đau đầu,,,,,
Rubella,đau cơ,hạch bạch huyết sưng,đau đầu,chán ăn,ho,sốt,mệt mỏi,,,
Rối loạn phổ tự kỷ (ASD),vấn đề với tương tác xã hội,không thích sự thay đổi,khó khăn trong giao tiếp xã hội,khó duy trì các mối quan hệ,mất tập trung,thiếu sự quan tâm đến trò chơi nhóm,,,,
Viêm gan,đau bụng,mệt mỏi,chán ăn,đau cơ,sốt,,,,,
Bệnh phổi tắc nghẽn mãn tính (COPD),tiếng thở có âm thanh,ho có đờm,sút cân,mệt mỏi,ho kéo dài,,,,,
Sởi,mệt mỏi,viêm kết mạc,sốt,ho,đốm trắng trong miệng,đau họng,đau cơ,,,
Viêm loét đại tràng,đau trực tràng,tiêu chảy có máu,sốt,đau bụng,giảm cân,tăng tần suất đi vệ sinh,mệt mỏi,,,
Bulimia,ăn uống vô độ,mệt mỏi,cảm giác xấu hổ khi ăn,thay đổi trọng lượng cơ thể,trầm cảm,sử dụng thuốc nhuận tràng,cảm giác mất kiểm soát,nôn mửa,lo âu về hình dáng cơ thể,
Viêm gan,phân nhạt màu,mệt mỏi,đau bụng,đau khớp,đau cơ,chán ăn,vàng da,nước tiểu sẫm màu,,
Herpes,đau cơ,đau khi tiểu,vùng da đau nhức,vết loét trên cơ thể,buồn nôn,phát ban,đau đầu,mệt mỏi,ngứa,sốt
Sẩy thai,khó thở,mệt mỏi,rối loạn nội tiết,đau bụng,khó tiêu,đau lưng,đau khi quan hệ,vàng da,buồn nôn,
Thoát vị,cảm giác nặng nề,đau khi ho hoặc căng thẳng,đau xương chậu,đau vùng bụng,khó thở,cảm giác căng tức,,,,
Tả,mắt trũng,miệng khô,mất nước,tiêu chảy có nước,huyết áp thấp,sốt,nôn,chuột rút cơ,,
Bệnh phong,vấn đề về mắt,nerv lớn phì đại,tổn thương da,sẹo,da đổi màu,yếu cơ,tê,tắc nghẽn mũi,mất cảm giác,sưng
Hội chứng ruột kích thích (IBS),đau khi đi tiêu,chán ăn,mệt mỏi,tiêu chảy,đau bụng,khó tiêu,sút cân,sưng bụng,,
Tiền sản giật,đau đầu,nôn mửa,sốt,mắt nhìn mờ,đau bụng trên,mệt mỏi,cao huyết áp,,,
Rối loạn lưỡng cực,cảm giác cực kỳ vui vẻ,trầm cảm,thay đổi đột ngột tâm trạng,vấn đề với hành vi,mất ngủ,cảm giác bồn chồn,,,,
Loét dạ dày tá tràng,tiêu chảy,khó tiêu,cảm giác nóng rát,buồn nôn,chảy máu dạ dày,đầy hơi,đau bụng,chán ăn,nôn mửa,
Đột quỵ,mất phối hợp,khó đi lại,khó nuốt,đau đầu dữ dội,tê bì đột ngột,khó nhìn,chóng mặt,yếu một bên cơ thể,mơ hồ,
HIV/AIDS,phát ban da,giảm cân,mệt mỏi,sốt,ho khô kéo dài,tiêu chảy,hạch bạch huyết sưng,ra mồ hôi ban đêm,đau đầu,
Lupus,mệt mỏi,đau khớp,mất tóc,sút cân,cảm giác lạnh,phát ban mặt,,,,
Viêm loét đại tràng,tiêu chảy có máu,mệt mỏi,đau trực tràng,tăng tần suất đi vệ sinh,giảm cân,thiếu máu,đau bụng,sốt,buồn nôn,mũi trong phân
Viêm tụy mạn tính,đau lưng,mỡ trong phân,chán ăn,nôn,buồn nôn,suy dinh dưỡng,tiêu chảy,đau bụng dai dẳng,đầy hơi,
Đột quỵ,mơ hồ,chóng mặt,mất phối hợp,đau đầu dữ dội,yếu một bên cơ thể,tê bì đột ngột,khó nuốt,nói ngọng,khó đi lại,khó nhìn
Suy tim,khó thở,chán ăn,ho dai dẳng,tăng cân,nhịp tim không đều,tiểu thường xuyên,sưng phù,,,
Cường giáp,run tay,kích động,rụng tóc,khó ngủ,mệt mỏi,nhịp tim nhanh,,,,
Ung thư tụy,buồn nôn,khó thở,giảm cân không rõ lý do,mệt mỏi,tiêu chảy,đau lưng,vàng da,,,
Bệnh phổi tắc nghẽn mãn tính (COPD),khó thở khi gắng sức,ho kéo dài,khó thở,sút cân,mệt mỏi,khò khè,tiếng thở có âm thanh,đau ngực,ho có đờm,thở nhanh
Lạc nội mạc tử cung,chảy máu giữa kỳ kinh,kinh nguyệt không đều,rối loạn tiêu hóa,đau vùng chậu,tiểu buốt,,,,,
Ngộ độc thực phẩm,mệt mỏi,sút cân,khó tiêu,đầy hơi,tiêu chảy,,,,,
Ung thư buồng trứng,đau bụng,chảy máu âm đạo bất thường,đau khi quan hệ,sút cân không rõ lý do,khó tiêu,đau lưng,chướng bụng,buồn nôn,tiểu nhiều hoặc tiểu khó,mệt mỏi
Lupus ban đỏ hệ thống,rụng tóc,đau ngực,mệt mỏi,chóng mặt,phát ban cánh bướm,,,,,
Xơ nang,nhiễm trùng xoang thường xuyên,khó tăng cân,vấn đề tiêu hóa,nhiễm trùng phổi thường xuyên,tăng trưởng kém,,,,,
Trào ngược dạ dày thực quản,khó thở,ho khan,đau ngực,đau họng,chứng ợ nóng,khó nuốt,chảy máu thực quản,đầy hơi,cảm giác nóng rát,khó ngủ
Bệnh Wilson,cứng cơ,vòng Kayser-Fleischer,rối loạn vận động,mệt mỏi,khó nuốt,,,,,
Ung thư nội mạc tử cung,đau khi quan hệ,vàng da,khó tiêu,mệt mỏi,sút cân,ra máu âm đạo bất thường,đau xương chậu,đau bụng dưới,đau lưng,tiểu thường xuyên
Hội chứng Guillain-Barré,tê tay chân,yếu cơ,đau cơ,sốt,khó thở,đau lưng,cảm giác kim châm trên da,giảm phản xạ,,
Lupus,sốt,mệt mỏi,đau ngực,đau khớp,mất tóc,cảm giác lạnh,,,,
Bệnh Huntington,chóng mặt,mất tập trung,giảm cân,mất thăng bằng,thay đổi hành vi,trí nhớ giảm sút,yếu cơ,khó nói,cử động không kiểm soát,
Bệnh bạch cầu,đau bụng,giảm cân không rõ lý do,nhiễm trùng thường xuyên,đau xương,sốt,da tái nhợt,dễ bầm tím,mệt mỏi,,
Tiểu đường,tê hoặc ngứa,tiểu nhiều lần,mờ mắt,lành vết thương chậm,thèm ăn cực độ,mệt mỏi,nhiễm trùng thường xuyên,da khô,,
Zona,sốt,mệt mỏi,buồn nôn,cảm giác cháy,đau đầu,phỏng rộp,ngứa,phát ban đau,nhạy cảm với ánh sáng,đau nhức
Bệnh Celiac,tiêu chảy,buồn nôn,đầy hơi,sang thương da,đau bụng,,,,,
Bệnh lao,ra mồ hôi ban đêm,ho ra máu,giảm cân,ho dai dẳng,đau ngực,mệt mỏi,sốt,,,
Vô sinh,rối loạn nội tiết,vô cảm xúc,tăng cân,đau khi quan hệ,đau bụng,,,,,
Đột quỵ,khó nhìn,đau đầu dữ dội,yếu một bên cơ thể,khó nuốt,nói ngọng,tê bì đột ngột,mơ hồ,,,
Sốt thương hàn,mơ hồ,đau cơ,sốt,đau đầu,đau bụng,phát ban,tiêu chảy,chán ăn,buồn nôn,yếu
Loãng xương,cứng khớp,mỏi cơ,dáng cong,khó đi lại,chuột rút,đau cổ,giảm chiều cao,đau lưng,,
Sốt xuất huyết,đau khớp,hạch bạch huyết sưng,nôn,đau đầu dữ dội,phát ban,sốt,đau cơ,mệt mỏi,,
Sản giật,nôn mửa,co giật,huyết áp cao,đau bụng,thở nhanh,,,,,
Syphilis,đau họng,khó nuốt,đau cơ,rối loạn tiêu hóa,mệt mỏi,sốt,vết loét không đau,phát ban da,đau đầu,viêm hạch
Bệnh Alzheimer,thay đổi tâm trạng,mơ hồ,không nhận ra nơi quen thuộc,khó giải quyết vấn đề,rút lui khỏi các hoạt động xã hội,lạc hướng,mất đồ đạc,thay đổi tính cách,khó lập kế hoạch,
Sốt thương hàn,buồn nôn,chán ăn,đau đầu,sốt,yếu,đau bụng,đau cơ,mơ hồ,phát ban,tiêu chảy
Ung thư cổ tử cung,tiết dịch âm đạo bất thường,giảm cân,sưng chân,tiêu chảy,đau lưng,tiểu đau,đau khi quan hệ,đau vùng chậu,,
Lạc nội mạc tử cung,đau khi quan hệ,tiểu buốt,đau lưng,kinh nguyệt không đều,đau vùng chậu,đau bụng,,,,
Herpes,buồn nôn,phát ban,đau cơ,đau khi tiểu,mệt mỏi,đau đầu,vết loét trên cơ thể,sốt,vùng da đau nhức,ngứa
Viêm màng não,buồn nôn,sốt cao,hôn mê,đau cơ,mệt mỏi,sợ ánh sáng,đau đầu dữ dội,co giật,,
Ung thư tụy,khó thở,vàng da,mệt mỏi,buồn nôn,giảm cân không rõ lý do,sốt,tiêu chảy,,,
Eczema,chàm,dễ bị viêm nhiễm,đau da,mẩn đỏ,ngứa da,khó chịu,khô da,dễ bị kích ứng,vảy da,
Rối loạn hoảng sợ,mồ hôi vã ra,buồn nôn,đau ngực,cảm giác tê liệt,đột ngột cảm giác sợ hãi,mệt mỏi,,,,
Mumps,sưng tuyến nước bọt,sưng tinh hoàn,sốt,mệt mỏi,đau đầu,chán ăn,,,,
Lymphoma,chán ăn,ra mồ hôi đêm,nhiễm trùng thường xuyên,mệt mỏi,ngứa,giảm cân không rõ lý do,hạch bạch huyết sưng,,,
Thoát vị,đau vùng bụng,tăng áp lực khi đi vệ sinh,đau xương chậu,khó thở,đau khi di chuyển,cảm giác căng tức,cảm giác nặng nề,đau khi ho hoặc căng thẳng,sưng vùng bụng,tăng áp lực bụng
Hội chứng chân không yên,rối loạn giấc ngủ,mất ngủ,mệt mỏi ban ngày,ngứa ran,cảm giác châm chích,không kiểm soát được chuyển động chân,khó tập trung,đau rát,cảm giác khó chịu ở chân,
Eczema,vảy da,chàm,khó chịu,khô da,đau da,da bị nứt nẻ,dễ bị viêm nhiễm,mẩn đỏ,ngứa da,dễ bị kích ứng
Zona,ngứa,mệt mỏi,sốt,cảm giác cháy,buồn nôn,nhạy cảm với ánh sáng,đau nhức,phát ban đau,phỏng rộp,
Rối loạn phổ tự kỷ (ASD),khó khăn trong giao tiếp xã hội,thiếu khả năng diễn đạt cảm xúc,mất tập trung,không hiểu cảm xúc người khác,vấn đề với tương tác xã hội,khó duy trì các mối quan hệ,không thích sự thay đổi,thiếu sự quan tâm đến trò chơi nhóm,lặp lại hành động hoặc lời nói,
Táo bón,cảm giác không thể đi vệ sinh hết,khó đi tiêu,đau bụng,mệt mỏi,mất cảm giác thèm ăn,đầy hơi,sút cân,đầy bụng,,
Viêm loét đại tràng,buồn nôn,đau bụng,mệt mỏi,tăng tần suất đi vệ sinh,giảm cân,mũi trong phân,tiêu chảy có máu,thiếu máu,,
Suy giáp,trầm cảm,rụng tóc,mệt mỏi,khó chịu với lạnh,kinh nguyệt không đều,giọng khàn,,,,
Ngưng thở khi ngủ,ngáy to,tiếng thở rít khi ngủ,tỉnh giấc đột ngột,buồn ngủ ban ngày,mệt mỏi vào buổi sáng,,,,,
Suy tim,thở khò khè,khó tập thể dục,tiểu thường xuyên,ho dai dẳng,nhịp tim không đều,sưng phù,mệt mỏi,chán ăn,tăng cân,
HIV/AIDS,ho khô kéo dài,buồn nôn,đau đầu,tiêu chảy,mệt mỏi,phát ban da,sốt,ra mồ hôi ban đêm,hạch bạch huyết sưng,giảm cân
Viêm loét đại tràng,đau trực tràng,đau bụng,thiếu máu,mũi trong phân,tăng tần suất đi vệ sinh,giảm cân,tiêu chảy có máu,mệt mỏi,,
Bệnh Huntington,mất tập trung,thay đổi hành vi,yếu cơ,cử động không kiểm soát,mất thăng bằng,trí nhớ giảm sút,chóng mặt,khó nói,,
Chân vận động viên,da đỏ,vết nứt da,ngứa giữa các ngón chân,sưng tấy,da bong tróc,vảy da,châm chích,,,
Bệnh Parkinson,run,cúi người,thay đổi giọng nói,chậm vận động,vấn đề cân bằng,cứng cơ,chuột rút cơ,đi bộ lê từng bước,,
Viêm khớp,biến dạng khớp,giảm phạm vi vận động,đau nhức,cứng khớp,yếu,,,,,
Dại,sốt,mơ hồ,đau đầu,bị liệt,khó nuốt,co giật,ảo giác,mất ngủ,kích động,chảy nước dãi quá mức
Thai ngoài tử cung,đau bụng dữ dội,đau khi đi vệ sinh,đau khi ho,thở dốc,chóng mặt,buồn nôn,mệt mỏi,cảm giác nặng bụng,ra máu âm đạo,
Viêm não,mệt mỏi,cứng cổ,mất cân bằng,sốt cao,buồn nôn,chóng mặt,đau đầu,co giật,nôn mửa,
Bệnh Alzheimer,mơ hồ,rút lui khỏi các hoạt động xã hội,mất đồ đạc,không nhận ra nơi quen thuộc,thay đổi tâm trạng,khó giải quyết vấn đề,khó lập kế hoạch,thay đổi tính cách,,
Psoriasis,da đỏ,ngứa,nứt nẻ da,da khô,đau khớp,tăng mảng vảy,mệt mỏi,mẩn đỏ,,
Sản giật,thở nhanh,đau đầu,khó thở,mất ý thức,co giật,,,,,
Tiêu chảy,đau khi đi tiêu,sốt,khó chịu ở bụng,nôn mửa,đau bụng,thường xuyên phải đi vệ sinh,tiêu chảy kéo dài,mất nước,,
Bệnh Celiac,sút cân,tiêu chảy,thường xuyên cảm giác ốm yếu,đầy hơi,chướng bụng,mệt mỏi,,,,
Sản giật,nôn mửa,mệt mỏi,huyết áp cao,thở nhanh,đau đầu,sưng tay chân,,,,
Bulimia,khó tiêu,cảm giác mất kiểm soát,trầm cảm,ăn uống vô độ,mệt mỏi,sử dụng thuốc nhuận tràng,nôn mửa,cảm giác xấu hổ khi ăn,,
Chấy,cảm giác ngứa khi chải tóc,sưng đỏ da đầu,ngứa da đầu,sử dụng lược chấy,tóc rụng,cảm giác châm chích,lây lan sang người khác,,,
Schizophrenia,thất vọng,mất hứng thú,ảo giác,trầm cảm,khó tập trung,thay đổi hành vi,hoang tưởng,lo âu,,
Gonorrhea,đau khi quan hệ,ngứa,sưng vùng kín,buồn nôn,sốt,chảy mủ từ dương vật,đau bụng dưới,,,
Xơ vữa động mạch,cảm giác ngứa,yếu cơ,mờ mắt,khó đi lại,chóng mặt,tê,rối loạn trí nhớ,,,
Sởi,sốt,đốm trắng trong miệng,sổ mũi,đau họng,đau cơ,viêm kết mạc,,,,
Thiếu máu hồng cầu hình liềm,da nhợt nhạt,đau ngực,đau xương khớp,chóng mặt,vàng da,mệt mỏi,,,,
Sản giật,nôn mửa,co giật,khó thở,huyết áp cao,thở nhanh,sưng tay chân,đau bụng,mất ý thức,mệt mỏi,đau đầu
Hội chứng chân không yên,khó tập trung,không kiểm soát được chuyển động chân,cảm giác khó chịu ở chân,rối loạn giấc ngủ,cảm giác châm chích,mệt mỏi ban ngày,buồn bực,mất ngủ,,
Bệnh botulism,khô miệng,mắt nhìn mờ,buồn nôn,yếu cơ,mệt mỏi,,,,,
Bệnh Behçet,đau bụng,sưng khớp,viêm mắt,sốt,lở loét miệng,giảm trí nhớ,,,,
Sốt rét,đau đầu,nôn,mồ hôi,mệt mỏi,thở nhanh,thiếu máu,rùng mình,buồn nôn,,
Hội chứng buồng trứng đa nang (PCOS),mọc nhiều lông,khó thụ thai,đau bụng,kinh nguyệt không đều,tăng cân,mụn trứng cá,rối loạn tâm lý,vấn đề về da,da dầu,rối loạn nội tiết
Tả,chuột rút cơ,mất nước,mệt mỏi,miệng khô,huyết áp thấp,nhịp tim nhanh,,,,
Mụn,vết thâm sau mụn,mụn trứng cá,da dầu,mụn đầu đen,mụn bọc,mụn gây sưng đỏ,đau khi chạm vào,mụn viêm,,
Ung thư cổ tử cung,tiêu chảy,đau lưng,sưng chân,tiểu đau,tiết dịch âm đạo bất thường,chảy máu âm đạo bất thường,giảm cân,đau vùng chậu,mệt mỏi,
Tiêu chảy,khó chịu ở bụng,thường xuyên phải đi vệ sinh,mệt mỏi,nôn mửa,đau khi đi tiêu,mất nước,,,,
Viêm não,mệt mỏi,mất cân bằng,suy giảm nhận thức,đau đầu,sốt cao,,,,,
Hội chứng buồng trứng đa nang (PCOS),mọc nhiều lông,rối loạn tâm lý,da dầu,rối loạn nội tiết,vấn đề về da,khó thụ thai,tăng cân,mụn trứng cá,đau bụng,kinh nguyệt không đều
Viêm dạ dày,nôn mửa,tiêu chảy,đau thượng vị,chảy máu dạ dày,buồn nôn,đau khi ăn,,,,
Gonorrhea,buồn nôn,chảy mủ từ dương vật,sốt,đau khi quan hệ,đau bụng dưới,ra dịch âm đạo,đau khi đi tiểu,ngứa,sưng vùng kín,
Viêm phổi,đau ngực,mơ hồ,môi hoặc ngón tay màu xanh,khó thở,mệt mỏi,,,,,
Gonorrhea,ra dịch âm đạo,đau khi đi tiểu,ngứa,sưng vùng kín,sốt,đau bụng dưới,,,,
Ung thư đại trực tràng,máu trong phân,đau bụng,khó tiêu,đau khi đi tiêu,mệt mỏi,màu phân thay đổi,nôn mửa,thay đổi thói quen đi tiêu,tiêu chảy hoặc táo bón,sút cân không rõ lý do
Sẩy thai,mệt mỏi,khó thở,khó tiêu,đau lưng,rối loạn nội tiết,đau bụng,đau khi quan hệ,ra máu âm đạo,buồn nôn,
Rối loạn lưỡng cực,trầm cảm,cảm giác cực kỳ vui vẻ,khó khăn trong kiểm soát cảm xúc,cảm giác bồn chồn,vấn đề với hành vi,dễ nổi giận,nói nhiều,suy nghĩ nhanh,mất ngủ,thay đổi đột ngột tâm trạng
Táo bón,cảm giác nặng nề,sút cân,đầy bụng,mệt mỏi,cảm giác không thể đi vệ sinh hết,đau khi đi tiêu,,,,
Rối loạn căng thẳng sau chấn thương (PTSD),cảm giác tách biệt với mọi người,mơ lại giấc mơ xấu,đau đầu,lo âu,trầm cảm,mất ngủ,đặc biệt dễ giật mình,hoảng loạn,,
Rubella,ho,đau đầu,hạch bạch huyết sưng,sốt,đau khớp,chán ăn,đau họng,phát ban,mệt mỏi,đau cơ
Hội chứng chân không yên,không kiểm soát được chuyển động chân,cảm giác châm chích,mất ngủ,rối loạn giấc ngủ,khó tập trung,,,,,
Hội chứng ruột kích thích (IBS),tiêu chảy,táo bón,sút cân,sưng bụng,chán ăn,,,,,
Táo bón,cảm giác nặng nề,mệt mỏi,cảm giác không thể đi vệ sinh hết,mất cảm giác thèm ăn,khó đi tiêu,đầy bụng,,,,
Rối loạn lưỡng cực,cảm giác cực kỳ vui vẻ,nói nhiều,khó khăn trong kiểm soát cảm xúc,thay đổi đột ngột tâm trạng,mất ngủ,dễ nổi giận,trầm cảm,suy nghĩ nhanh,,
Cường giáp,rụng tóc,đau ngực,sụt cân,nhịp tim nhanh,khó chịu với nóng,run tay,,,,
Trầm cảm,không có hứng thú với các hoạt động,buồn bã,cảm giác có lỗi,sút cân hoặc tăng cân,khó ngủ,giảm khả năng tập trung,suy nghĩ tiêu cực,,,
Viêm da cơ địa,da sưng,da bị viêm,da có mụn nước,nứt nẻ da,ngứa dai dẳng,phát ban đỏ,da dày hơn,ngứa,đau rát,da khô
Ung thư phổi,giảm cân,chán ăn,ho ra máu,thở nhanh hoặc khó khăn khi gắng sức,đau ngực,ho kéo dài,khò khè,mệt mỏi,,
Nấm da,tạo vết nứt,da khô,đau khi chạm vào,vết thương lâu lành,lở loét,lột da,sưng da,vảy da,,
Lạc nội mạc tử cung,đau khi đi tiểu,đau khi quan hệ,kinh nguyệt không đều,chảy máu giữa kỳ kinh,đau lưng,đau vùng chậu,,,,
Thoát vị,tăng áp lực bụng,đau khi di chuyển,đau xương chậu,cảm giác nặng nề,cảm giác căng tức,sưng vùng bụng,,,,
Viêm gan,vàng da,mệt mỏi,đau khớp,nước tiểu sẫm màu,đau bụng,phân nhạt màu,,,,
Xơ gan,buồn nôn,xuất huyết,ngứa,tinh thần lú lẫn,giảm cơ,mệt mỏi,vàng da,sút cân,bụng sưng to,mạch máu nổi rõ trên da
Đột quỵ,đau đầu dữ dội,mất phối hợp,khó nuốt,nói ngọng,tê bì đột ngột,mơ hồ,khó đi lại,,,
Bệnh thận mãn tính,buồn nôn,tiểu không bình thường,chán ăn,mệt mỏi,huyết áp cao,sưng chân,,,,
Tiền sản giật,sưng chân tay,nôn mửa,mắt nhìn mờ,đau bụng trên,đau đầu,buồn nôn,cao huyết áp,khó thở,,
Thiếu máu,da nhợt nhạt,chóng mặt,sút cân,đau ngực,tim đập nhanh,thở nhanh,,,,
Lupus ban đỏ hệ thống,rụng tóc,khó thở,viêm màng phổi,sốt,mệt mỏi,đau ngực,phát ban cánh bướm,da sạm,đau khớp,chóng mặt
Xơ gan,sút cân,xuất huyết,tinh thần lú lẫn,giảm cơ,mệt mỏi,vàng da,buồn nôn,ngứa,bụng sưng to,mạch máu nổi rõ trên da
U ác tính,khó thở,khó nuốt,mệt mỏi,ho kéo dài,khối u,đau,đau ngực,giảm cân không rõ lý do,sốt,
Chán ăn,cảm giác tội lỗi khi ăn,cảm giác no ngay cả khi không ăn,mệt mỏi,giảm cân nhanh,khó ngủ,mất cảm giác thèm ăn,mất tự tin,suy nhược cơ thể,buồn nôn,chóng mặt
Rối loạn ám ảnh cưỡng chế (OCD),cảm giác cần phải làm theo một cách cụ thể,mất thời gian vào suy nghĩ tiêu cực,khó kiểm soát cảm xúc,lo lắng quá mức,hoặc làm điều gì đó,sợ hãi không kiểm soát được,không thể ngừng suy nghĩ về một điều gì đó,mặc cảm tội lỗi,lo ngại về sự không sạch sẽ,
Sởi,sổ mũi,ho,mệt mỏi,viêm kết mạc,đốm trắng trong miệng,sốt,đau cơ,phát ban,đau họng,
Rối loạn lưỡng cực,thay đổi đột ngột tâm trạng,khó khăn trong kiểm soát cảm xúc,cảm giác cực kỳ vui vẻ,nói nhiều,vấn đề với hành vi,dễ nổi giận,,,,
Hội chứng ruột kích thích,đau quặn thắt,táo bón,mệt mỏi,sụt cân,tiêu chảy,nước tiểu sẫm màu,đầy hơi,buồn nôn,,
Hội chứng ruột kích thích (IBS),đau bụng,khó tiêu,chán ăn,tiêu chảy,đầy hơi,,,,,
Sốt rét,sốt,mồ hôi,đau cơ,nôn,mệt mỏi,,,,,
Ung thư tinh hoàn,đau bụng dưới,buồn nôn,khó thở,thay đổi hình dáng tinh hoàn,mệt mỏi,,,,,
Viêm da cơ địa,da có mụn nước,đau rát,ngứa dai dẳng,da dày hơn,da bị viêm,ngứa,,,,
Sản giật,khó thở,mệt mỏi,thở nhanh,co giật,nôn mửa,đau đầu,đau bụng,huyết áp cao,,
Gonorrhea,buồn nôn,sốt,chảy mủ từ dương vật,đau khi quan hệ,ra dịch âm đạo,đau khi đi tiểu,sưng vùng kín,mệt mỏi,ngứa,
Ung thư đại trực tràng,khó tiêu,màu phân thay đổi,đau bụng,thay đổi thói quen đi tiêu,nôn mửa,,,,,
Rối loạn hoảng sợ,mồ hôi vã ra,buồn nôn,rối loạn nhịp tim,mệt mỏi,run rẩy,cảm giác tê liệt,đau ngực,khó thở,,
Zona,sốt,phát ban đau,nhạy cảm với ánh sáng,mệt mỏi,ngứa,đau nhức,,,,
Bệnh lao,sốt,đau ngực,hạch bạch huyết sưng,mệt mỏi,giảm cân,ra mồ hôi ban đêm,khó thở,ho dai dẳng,ho ra máu,chán ăn
Động kinh,chuột rút cơ,mất trí nhớ tạm thời,chuyển động không kiểm soát,mơ hồ,run,,,,,
COVID-19,khó thở,đau cơ,ho,đau họng,đau đầu,khó thở,mất vị giác hoặc khứu giác,sốt,mệt mỏi,nghẹt mũi
